27 ent:Extreme Meta ent_val:1.1640347007312926 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 4, 8] mob:[1.5, 5.5, 10.5]
28 ent:Extreme Meta ent_val:1.4695790610693187 dmg:[1, 2, 3] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 2, 4] mob:[1.5, 5.5, 10.5]
29 ent:Extreme Meta ent_val:0.7604678503279265 dmg:[1, 2, 3] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 20] sup:[0, 3, 8] mob:[1.5, 2.5, 4.5]
30 ent:Extreme Meta ent_val:0.9495963739384901 dmg:[1, 2, 3] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 3, 8] mob:[1.5, 2.5, 4.5]
31 ent:Extreme Meta ent_val:1.2704872726511665 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 30] sup:[0, 2, 4] mob:[1.5, 3.5, 6.5]
32 ent:Extreme Meta ent_val:1.1451060081055275 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
33 ent:Extreme Meta ent_val:0.7721216646771591 dmg:[1, 2, 3] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
34 ent:Extreme Meta ent_val:1.08839114464852 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 2.5, 4.5]
35 ent:Established Meta ent_val:2.0313216086056105 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 2, 4] mob:[1.5, 3.5, 6.5]
36 ent:Extreme Meta ent_val:0.7068082124079793 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 3.5, 6.5]
37 ent:Established Meta ent_val:2.044545794721772 dmg:[2, 4, 8] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 20] sup:[0, 2, 4] mob:[1.5, 5.5, 10.5]
38 ent:Extreme Meta ent_val:1.3432662615526025 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 30] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
39 ent:Stagnant Meta ent_val:1.7379883682668438 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 5.5, 10.5]
