,Assassin,Gunner,Kamikaze,Duelist,Battle Medic,Sweeper,Sniper,Mage,Cannon,Druid,Skirmisher,Hazard,Gladiator,Team Support,Harasser,Wall,Tank,Lead,Healer,Ambulance,Flyer,ENT
345,0.74,0.37,0.35,0.57,0.05,0.58,0.005,0.055,0.155,0.815,0.005,0.0,0.59,0.015,0.01,0.61,0.03,0.035,0.0,0.015,0.0,2.29341045924162
346,0.795,0.37,0.35,0.46,0.025,0.53,0.0,0.04,0.14,0.875,0.005,0.0,0.69,0.01,0.005,0.66,0.015,0.01,0.005,0.015,0.0,2.2198978155196927
347,0.75,0.43,0.395,0.535,0.005,0.445,0.0,0.055,0.17,0.88,0.005,0.005,0.52,0.005,0.02,0.71,0.02,0.025,0.005,0.015,0.005,2.2629626488797565
348,0.62,0.465,0.445,0.585,0.005,0.435,0.01,0.065,0.185,0.88,0.015,0.005,0.465,0.025,0.04,0.7,0.02,0.025,0.0,0.01,0.0,2.308652924322803
349,0.565,0.565,0.39,0.615,0.02,0.45,0.005,0.04,0.22,0.87,0.015,0.005,0.475,0.01,0.04,0.64,0.02,0.045,0.0,0.01,0.0,2.3145977866512286
350,0.6,0.645,0.35,0.69,0.025,0.4,0.005,0.01,0.205,0.865,0.0,0.01,0.475,0.01,0.03,0.635,0.015,0.02,0.0,0.005,0.005,2.255019054379909
351,0.565,0.625,0.355,0.71,0.025,0.42,0.0,0.025,0.225,0.855,0.025,0.0,0.53,0.005,0.0,0.565,0.035,0.015,0.005,0.005,0.01,2.2699661951036885
352,0.55,0.66,0.315,0.68,0.02,0.42,0.0,0.04,0.23,0.855,0.01,0.0,0.57,0.015,0.0,0.56,0.03,0.03,0.0,0.015,0.0,2.2694451610337034
353,0.595,0.69,0.23,0.725,0.04,0.435,0.005,0.055,0.195,0.845,0.005,0.0,0.545,0.01,0.0,0.57,0.015,0.03,0.0,0.01,0.0,2.251853979498903
354,0.68,0.755,0.175,0.71,0.025,0.39,0.01,0.025,0.165,0.82,0.015,0.015,0.44,0.02,0.0,0.69,0.015,0.03,0.005,0.015,0.0,2.2413477992230186
355,0.775,0.785,0.1,0.63,0.02,0.395,0.01,0.03,0.155,0.845,0.005,0.015,0.44,0.025,0.01,0.72,0.01,0.025,0.005,0.0,0.0,2.194811174020491
356,0.81,0.74,0.11,0.585,0.02,0.39,0.03,0.035,0.125,0.84,0.005,0.01,0.5,0.01,0.0,0.735,0.005,0.045,0.0,0.005,0.0,2.1911035150921565
357,0.89,0.765,0.045,0.57,0.03,0.38,0.01,0.05,0.11,0.865,0.005,0.01,0.455,0.01,0.015,0.705,0.01,0.06,0.01,0.0,0.005,2.1852950912096225
358,0.865,0.685,0.055,0.48,0.02,0.46,0.015,0.03,0.115,0.88,0.005,0.0,0.565,0.0,0.005,0.71,0.01,0.065,0.01,0.02,0.005,2.1803421280988324
359,0.9,0.705,0.03,0.4,0.02,0.47,0.005,0.03,0.09,0.94,0.005,0.01,0.6,0.015,0.005,0.7,0.01,0.055,0.0,0.01,0.0,2.1339314729926158
360,0.92,0.715,0.07,0.305,0.025,0.45,0.005,0.025,0.07,0.925,0.01,0.02,0.7,0.02,0.005,0.645,0.035,0.05,0.0,0.0,0.005,2.1591507188661985
361,0.895,0.675,0.115,0.245,0.015,0.475,0.015,0.04,0.06,0.9,0.01,0.015,0.87,0.02,0.01,0.555,0.025,0.04,0.015,0.005,0.0,2.173763303145136
362,0.93,0.6,0.15,0.14,0.03,0.515,0.01,0.04,0.05,0.915,0.025,0.005,1.035,0.005,0.025,0.47,0.025,0.02,0.005,0.005,0.0,2.122789208735063
363,0.915,0.5,0.175,0.09,0.005,0.56,0.025,0.055,0.035,0.955,0.01,0.01,1.125,0.005,0.025,0.455,0.025,0.025,0.005,0.0,0.0,2.0817119506730117
364,0.87,0.52,0.19,0.095,0.015,0.515,0.035,0.075,0.055,0.925,0.01,0.015,1.105,0.015,0.05,0.455,0.015,0.02,0.005,0.01,0.005,2.1611193665573625
365,0.86,0.52,0.205,0.12,0.005,0.505,0.035,0.115,0.06,0.93,0.0,0.01,1.105,0.02,0.035,0.45,0.005,0.02,0.0,0.0,0.0,2.133092309818843
366,0.875,0.495,0.185,0.08,0.02,0.52,0.025,0.14,0.07,0.9,0.005,0.0,1.105,0.02,0.055,0.45,0.03,0.015,0.005,0.0,0.005,2.165500456989634
367,0.79,0.435,0.21,0.04,0.015,0.59,0.01,0.12,0.105,0.92,0.01,0.005,1.28,0.02,0.075,0.335,0.01,0.01,0.01,0.005,0.005,2.1253433025134645
368,0.815,0.335,0.26,0.05,0.025,0.58,0.005,0.13,0.085,0.895,0.015,0.015,1.355,0.01,0.09,0.29,0.02,0.015,0.0,0.01,0.0,2.122476355164793
369,0.75,0.44,0.335,0.08,0.015,0.53,0.005,0.15,0.055,0.88,0.005,0.015,1.28,0.015,0.075,0.33,0.0,0.005,0.02,0.015,0.0,2.1479041068998033
370,0.725,0.335,0.44,0.09,0.005,0.505,0.01,0.235,0.05,0.92,0.005,0.015,1.165,0.025,0.09,0.345,0.005,0.025,0.0,0.01,0.0,2.192289204851677
371,0.69,0.28,0.49,0.065,0.02,0.55,0.01,0.23,0.025,0.925,0.005,0.0,1.27,0.01,0.065,0.31,0.025,0.015,0.005,0.01,0.0,2.135963395216716
372,0.685,0.33,0.535,0.045,0.02,0.435,0.015,0.315,0.01,0.965,0.02,0.03,1.07,0.015,0.06,0.415,0.005,0.015,0.005,0.01,0.0,2.1927797436584022
373,0.67,0.395,0.66,0.08,0.015,0.325,0.025,0.42,0.01,0.96,0.02,0.015,0.8,0.015,0.02,0.495,0.03,0.04,0.0,0.0,0.005,2.2396620828713885
374,0.53,0.475,0.73,0.145,0.01,0.28,0.01,0.445,0.03,0.945,0.02,0.04,0.8,0.015,0.02,0.475,0.005,0.025,0.0,0.0,0.0,2.242717592703937
375,0.45,0.63,0.75,0.11,0.01,0.235,0.02,0.46,0.02,0.915,0.025,0.06,0.765,0.02,0.005,0.48,0.015,0.025,0.0,0.005,0.0,2.248439857113026
376,0.465,0.675,0.715,0.09,0.005,0.26,0.005,0.48,0.01,0.94,0.02,0.04,0.765,0.005,0.005,0.495,0.0,0.01,0.01,0.005,0.0,2.183291308503577
377,0.34,0.735,0.73,0.115,0.02,0.235,0.02,0.52,0.025,0.915,0.015,0.05,0.735,0.03,0.01,0.47,0.0,0.02,0.005,0.005,0.005,2.2463981136189477
378,0.315,0.77,0.735,0.115,0.015,0.205,0.015,0.585,0.03,0.93,0.025,0.075,0.63,0.01,0.005,0.51,0.01,0.01,0.0,0.01,0.0,2.2312433490066157
379,0.285,0.855,0.67,0.105,0.015,0.18,0.025,0.62,0.05,0.895,0.02,0.1,0.565,0.01,0.02,0.545,0.025,0.01,0.0,0.005,0.0,2.2608223303230237
380,0.255,0.805,0.66,0.075,0.015,0.175,0.02,0.745,0.035,0.875,0.03,0.1,0.53,0.025,0.03,0.55,0.025,0.02,0.01,0.02,0.0,2.2862861779349934
381,0.215,0.91,0.605,0.085,0.025,0.18,0.05,0.705,0.035,0.88,0.015,0.08,0.565,0.01,0.025,0.59,0.005,0.015,0.0,0.005,0.0,2.231435566690643
382,0.17,0.815,0.61,0.1,0.015,0.18,0.085,0.825,0.03,0.885,0.01,0.09,0.505,0.005,0.015,0.645,0.0,0.0,0.005,0.01,0.0,2.210557227717239
383,0.17,0.815,0.615,0.115,0.02,0.18,0.06,0.84,0.04,0.86,0.0,0.07,0.525,0.025,0.03,0.6,0.025,0.005,0.005,0.0,0.0,2.239404841370343
384,0.14,0.8,0.64,0.12,0.01,0.21,0.05,0.775,0.045,0.835,0.005,0.05,0.635,0.005,0.04,0.6,0.01,0.015,0.01,0.005,0.0,2.232046848332979
385,0.16,0.795,0.615,0.12,0.01,0.22,0.07,0.665,0.05,0.84,0.005,0.025,0.83,0.02,0.03,0.51,0.015,0.015,0.0,0.005,0.0,2.232346522532844
386,0.2,0.725,0.585,0.14,0.015,0.24,0.075,0.64,0.025,0.775,0.025,0.05,0.96,0.005,0.02,0.47,0.025,0.02,0.0,0.005,0.0,2.2608060307319175
387,0.245,0.75,0.54,0.09,0.015,0.22,0.075,0.6,0.03,0.75,0.025,0.04,1.17,0.01,0.02,0.385,0.005,0.03,0.0,0.0,0.0,2.207115223257126
388,0.305,0.76,0.46,0.08,0.005,0.185,0.055,0.58,0.03,0.695,0.005,0.05,1.46,0.005,0.045,0.265,0.015,0.0,0.0,0.0,0.0,2.1108221683245207
389,0.295,0.825,0.395,0.08,0.015,0.105,0.035,0.685,0.045,0.68,0.005,0.07,1.43,0.005,0.015,0.27,0.025,0.015,0.0,0.005,0.0,2.107761652783466
390,0.285,0.92,0.25,0.12,0.01,0.06,0.03,0.905,0.035,0.595,0.005,0.08,1.41,0.005,0.02,0.24,0.02,0.01,0.0,0.0,0.0,2.0469844634249967
391,0.19,0.985,0.195,0.07,0.015,0.025,0.05,0.905,0.055,0.67,0.0,0.1,1.385,0.005,0.015,0.305,0.015,0.01,0.0,0.005,0.0,2.0144171738333743
392,0.135,1.065,0.135,0.07,0.01,0.015,0.03,0.945,0.045,0.735,0.0,0.085,1.35,0.01,0.015,0.315,0.01,0.0,0.005,0.025,0.0,1.9565149102743196
393,0.105,1.21,0.095,0.055,0.01,0.005,0.035,0.875,0.075,0.725,0.03,0.095,1.17,0.025,0.005,0.41,0.025,0.02,0.005,0.025,0.0,2.0178060701265514
394,0.12,1.325,0.07,0.065,0.015,0.005,0.01,0.805,0.045,0.835,0.02,0.085,1.015,0.01,0.015,0.49,0.035,0.03,0.0,0.005,0.0,1.9746227270120635
395,0.075,1.44,0.05,0.04,0.01,0.015,0.01,0.78,0.06,0.895,0.025,0.095,0.72,0.015,0.025,0.69,0.025,0.025,0.0,0.0,0.005,1.9572905632514623
396,0.1,1.59,0.055,0.04,0.035,0.015,0.01,0.715,0.065,0.9,0.01,0.105,0.465,0.01,0.015,0.825,0.01,0.03,0.0,0.005,0.0,1.9302760502340517
397,0.125,1.65,0.07,0.03,0.055,0.015,0.025,0.695,0.065,0.86,0.03,0.045,0.425,0.025,0.0,0.855,0.0,0.02,0.005,0.005,0.0,1.922592535183764
398,0.14,1.69,0.08,0.075,0.04,0.02,0.035,0.595,0.05,0.85,0.03,0.015,0.495,0.015,0.005,0.835,0.01,0.015,0.005,0.0,0.0,1.9290063121101162
399,0.135,1.755,0.075,0.07,0.005,0.01,0.025,0.605,0.065,0.86,0.035,0.0,0.48,0.005,0.0,0.8,0.02,0.045,0.01,0.0,0.0,1.8850935310696082
400,0.16,1.74,0.07,0.115,0.01,0.025,0.07,0.495,0.07,0.88,0.005,0.005,0.465,0.005,0.005,0.84,0.015,0.015,0.005,0.005,0.0,1.91402358497248
401,0.145,1.71,0.09,0.15,0.015,0.025,0.035,0.42,0.08,0.94,0.02,0.0,0.48,0.0,0.015,0.85,0.015,0.005,0.0,0.005,0.0,1.911170285746911
402,0.12,1.675,0.12,0.125,0.01,0.025,0.03,0.385,0.1,0.955,0.0,0.005,0.535,0.01,0.0,0.87,0.015,0.015,0.005,0.0,0.0,1.903600867449075
403,0.07,1.695,0.105,0.18,0.025,0.03,0.05,0.365,0.065,0.99,0.005,0.0,0.525,0.005,0.005,0.84,0.015,0.025,0.005,0.0,0.0,1.9065696250186477
404,0.085,1.59,0.13,0.22,0.015,0.045,0.015,0.42,0.045,0.885,0.015,0.005,0.695,0.0,0.0,0.765,0.025,0.03,0.005,0.01,0.0,1.9625058723527848
405,0.095,1.38,0.135,0.3,0.025,0.03,0.005,0.565,0.03,0.79,0.005,0.01,0.87,0.005,0.01,0.685,0.005,0.05,0.005,0.0,0.0,2.004787439844975
406,0.085,1.29,0.19,0.33,0.005,0.025,0.01,0.6,0.02,0.73,0.01,0.005,0.99,0.015,0.005,0.65,0.015,0.02,0.0,0.005,0.0,2.0017178587346742
407,0.135,1.2,0.225,0.33,0.015,0.005,0.005,0.625,0.035,0.715,0.0,0.015,1.005,0.005,0.01,0.635,0.02,0.015,0.0,0.005,0.0,2.0307549177474646
408,0.155,1.105,0.205,0.385,0.0,0.005,0.025,0.625,0.035,0.71,0.005,0.005,1.02,0.005,0.01,0.635,0.03,0.025,0.005,0.005,0.005,2.07235074697922
409,0.165,1.1,0.2,0.38,0.0,0.03,0.015,0.625,0.06,0.685,0.01,0.005,1.065,0.005,0.0,0.58,0.03,0.035,0.01,0.0,0.0,2.087123469704395
410,0.205,1.055,0.205,0.48,0.0,0.03,0.02,0.54,0.05,0.695,0.015,0.015,1.015,0.0,0.01,0.625,0.025,0.015,0.0,0.0,0.0,2.1034982171140775
411,0.2,1.08,0.18,0.465,0.005,0.015,0.01,0.57,0.035,0.665,0.015,0.015,1.05,0.005,0.015,0.62,0.03,0.02,0.005,0.0,0.0,2.0931642302255966
412,0.235,0.93,0.24,0.395,0.02,0.015,0.02,0.575,0.045,0.76,0.005,0.01,1.04,0.015,0.005,0.655,0.02,0.005,0.005,0.005,0.0,2.1212611060524096
413,0.2,0.945,0.315,0.31,0.015,0.01,0.01,0.615,0.04,0.755,0.005,0.005,1.1,0.005,0.0,0.625,0.035,0.0,0.0,0.01,0.0,2.075253263579487
414,0.145,0.95,0.35,0.28,0.045,0.03,0.005,0.66,0.03,0.68,0.0,0.005,1.085,0.02,0.025,0.655,0.01,0.015,0.005,0.005,0.0,2.112064638217742
415,0.12,0.93,0.435,0.27,0.045,0.005,0.005,0.655,0.045,0.605,0.01,0.02,1.165,0.005,0.02,0.615,0.015,0.02,0.005,0.01,0.0,2.112367819843805
416,0.16,0.83,0.43,0.285,0.015,0.005,0.015,0.625,0.075,0.66,0.025,0.025,1.245,0.0,0.01,0.56,0.005,0.03,0.0,0.0,0.0,2.108903594682666
417,0.16,0.805,0.47,0.27,0.0,0.01,0.02,0.685,0.055,0.605,0.015,0.03,1.29,0.01,0.015,0.495,0.025,0.035,0.0,0.005,0.0,2.1206568930329994
418,0.12,0.78,0.515,0.26,0.015,0.015,0.025,0.715,0.05,0.59,0.02,0.03,1.325,0.025,0.005,0.47,0.02,0.02,0.0,0.0,0.0,2.1094390166000307
419,0.095,0.755,0.555,0.27,0.01,0.0,0.035,0.73,0.07,0.595,0.01,0.035,1.355,0.02,0.005,0.425,0.02,0.01,0.0,0.005,0.0,2.0844780897753097
420,0.09,0.665,0.585,0.315,0.02,0.005,0.06,0.805,0.035,0.56,0.005,0.0,1.315,0.025,0.01,0.445,0.02,0.03,0.01,0.0,0.0,2.0994762506064664
421,0.065,0.68,0.645,0.275,0.015,0.015,0.09,0.775,0.035,0.56,0.015,0.01,1.265,0.025,0.005,0.46,0.02,0.04,0.005,0.0,0.0,2.125666124095745
422,0.05,0.655,0.7,0.235,0.01,0.005,0.065,0.78,0.055,0.59,0.025,0.0,1.33,0.015,0.02,0.41,0.0,0.055,0.0,0.0,0.0,2.0716398471553554
423,0.03,0.56,0.755,0.195,0.015,0.005,0.04,0.735,0.09,0.68,0.035,0.015,1.43,0.01,0.025,0.335,0.005,0.035,0.0,0.005,0.0,2.0550718471957152
424,0.035,0.515,0.76,0.175,0.015,0.005,0.045,0.75,0.105,0.755,0.01,0.035,1.365,0.025,0.02,0.34,0.015,0.02,0.005,0.0,0.005,2.0767260513435093
425,0.025,0.47,0.76,0.195,0.015,0.01,0.04,0.835,0.1,0.69,0.015,0.005,1.48,0.025,0.01,0.285,0.02,0.02,0.0,0.0,0.0,2.011611355837216
426,0.04,0.47,0.75,0.155,0.005,0.015,0.0,0.9,0.12,0.68,0.0,0.02,1.49,0.025,0.005,0.28,0.015,0.015,0.01,0.005,0.0,1.978854824487587
427,0.04,0.505,0.79,0.12,0.01,0.0,0.015,0.9,0.165,0.645,0.01,0.03,1.42,0.015,0.03,0.26,0.02,0.02,0.005,0.0,0.0,2.020067396471872
428,0.055,0.525,0.78,0.11,0.02,0.01,0.015,0.935,0.135,0.66,0.005,0.02,1.325,0.01,0.025,0.305,0.01,0.035,0.01,0.01,0.0,2.0528194288276373
429,0.055,0.535,0.8,0.12,0.01,0.015,0.02,0.985,0.155,0.635,0.01,0.015,1.2,0.015,0.04,0.33,0.03,0.02,0.005,0.005,0.0,2.087621047513663
430,0.05,0.495,0.825,0.12,0.025,0.005,0.04,0.98,0.13,0.61,0.01,0.035,1.17,0.015,0.015,0.395,0.025,0.035,0.015,0.005,0.0,2.112768737269445
431,0.02,0.56,0.73,0.145,0.02,0.01,0.06,0.915,0.095,0.625,0.005,0.03,1.13,0.02,0.05,0.51,0.02,0.04,0.0,0.01,0.005,2.1392334806542377
432,0.015,0.58,0.68,0.21,0.01,0.005,0.055,0.84,0.115,0.68,0.02,0.02,1.105,0.025,0.01,0.565,0.02,0.04,0.0,0.005,0.0,2.129219940051581
433,0.03,0.585,0.74,0.135,0.015,0.005,0.06,0.785,0.14,0.765,0.015,0.01,1.045,0.01,0.02,0.54,0.03,0.06,0.005,0.005,0.0,2.146950252699524
434,0.04,0.55,0.755,0.11,0.005,0.005,0.05,0.85,0.165,0.735,0.015,0.005,1.09,0.02,0.05,0.455,0.015,0.08,0.005,0.0,0.0,2.139532531621923
435,0.035,0.41,0.77,0.085,0.015,0.02,0.055,0.91,0.175,0.74,0.015,0.02,1.17,0.03,0.055,0.405,0.03,0.06,0.0,0.0,0.0,2.1435225457523375
436,0.01,0.275,0.815,0.065,0.005,0.005,0.025,0.95,0.155,0.79,0.01,0.025,1.41,0.02,0.035,0.315,0.04,0.045,0.0,0.005,0.0,1.9939687855169301
437,0.015,0.185,0.765,0.03,0.005,0.005,0.005,1.05,0.105,0.82,0.015,0.02,1.58,0.02,0.035,0.255,0.035,0.05,0.005,0.0,0.0,1.8832498422197739
438,0.015,0.115,0.755,0.01,0.015,0.025,0.015,1.03,0.095,0.86,0.01,0.015,1.73,0.03,0.03,0.195,0.005,0.045,0.005,0.0,0.0,1.808147794325764
439,0.015,0.13,0.78,0.01,0.0,0.015,0.015,1.03,0.115,0.87,0.0,0.02,1.745,0.005,0.015,0.165,0.03,0.03,0.01,0.0,0.0,1.7661256744237848
440,0.005,0.12,0.61,0.025,0.01,0.015,0.0,1.055,0.135,0.855,0.005,0.045,1.82,0.02,0.015,0.195,0.015,0.05,0.005,0.0,0.0,1.7908273337782288
441,0.0,0.13,0.49,0.02,0.0,0.025,0.015,1.05,0.115,0.885,0.01,0.035,1.81,0.015,0.02,0.27,0.045,0.055,0.005,0.005,0.0,1.8274614090214036
442,0.0,0.115,0.45,0.0,0.01,0.01,0.015,1.02,0.1,0.895,0.005,0.04,1.895,0.01,0.02,0.305,0.05,0.06,0.0,0.0,0.0,1.7737331703297579
443,0.005,0.14,0.44,0.005,0.005,0.015,0.03,1.055,0.045,0.875,0.0,0.045,1.95,0.045,0.01,0.24,0.015,0.06,0.005,0.015,0.0,1.7635851194812309
444,0.015,0.115,0.435,0.02,0.01,0.01,0.025,1.07,0.035,0.905,0.0,0.035,1.89,0.025,0.03,0.295,0.005,0.06,0.01,0.01,0.0,1.775600611105483
445,0.0,0.135,0.495,0.02,0.01,0.0,0.015,1.095,0.055,0.925,0.0,0.045,1.84,0.01,0.02,0.24,0.015,0.07,0.0,0.01,0.0,1.752946528681898
446,0.0,0.17,0.405,0.035,0.0,0.005,0.0,1.145,0.04,0.915,0.02,0.045,1.815,0.02,0.035,0.24,0.0,0.1,0.01,0.0,0.0,1.7727198671337019
447,0.01,0.23,0.375,0.05,0.005,0.005,0.005,1.16,0.06,0.85,0.015,0.06,1.72,0.025,0.06,0.24,0.03,0.085,0.005,0.01,0.0,1.8905856939062124
448,0.01,0.255,0.335,0.055,0.005,0.01,0.015,1.2,0.03,0.855,0.005,0.045,1.635,0.03,0.05,0.305,0.005,0.135,0.005,0.015,0.0,1.8978289832581452
449,0.015,0.26,0.355,0.1,0.015,0.025,0.035,1.19,0.02,0.845,0.01,0.065,1.58,0.01,0.035,0.285,0.015,0.13,0.01,0.0,0.0,1.94816756954869
450,0.01,0.265,0.355,0.125,0.02,0.025,0.02,1.165,0.03,0.91,0.005,0.08,1.48,0.02,0.03,0.285,0.01,0.155,0.005,0.005,0.0,1.9824146960534987
451,0.02,0.255,0.38,0.2,0.005,0.025,0.015,1.13,0.03,0.99,0.01,0.065,1.33,0.025,0.015,0.33,0.01,0.16,0.0,0.005,0.0,2.010693980289119
452,0.01,0.28,0.38,0.225,0.005,0.02,0.01,1.07,0.03,0.96,0.015,0.095,1.38,0.02,0.005,0.305,0.03,0.14,0.005,0.015,0.0,2.0309463172400153
453,0.01,0.34,0.355,0.275,0.025,0.01,0.01,0.975,0.035,1.04,0.005,0.1,1.34,0.01,0.03,0.295,0.01,0.13,0.0,0.005,0.0,2.036397359421127
454,0.0,0.41,0.34,0.34,0.025,0.005,0.005,0.85,0.04,1.065,0.03,0.1,1.235,0.025,0.04,0.31,0.02,0.145,0.005,0.01,0.0,2.1161953392350865
455,0.005,0.515,0.29,0.395,0.005,0.015,0.02,0.74,0.04,1.105,0.025,0.125,1.275,0.025,0.04,0.25,0.02,0.11,0.0,0.0,0.0,2.0962549252568095
456,0.01,0.585,0.325,0.43,0.005,0.0,0.03,0.565,0.035,1.11,0.0,0.195,1.33,0.025,0.04,0.28,0.005,0.02,0.005,0.005,0.0,2.05308794772352
457,0.015,0.765,0.26,0.45,0.0,0.005,0.015,0.505,0.055,1.04,0.005,0.205,1.355,0.02,0.015,0.255,0.015,0.01,0.0,0.01,0.0,2.032483916440561
458,0.01,0.84,0.275,0.425,0.015,0.0,0.02,0.485,0.04,0.985,0.01,0.205,1.34,0.045,0.02,0.26,0.01,0.005,0.005,0.005,0.0,2.053301281730907
459,0.025,0.87,0.3,0.415,0.015,0.0,0.005,0.465,0.075,0.99,0.015,0.225,1.31,0.01,0.01,0.24,0.005,0.01,0.005,0.01,0.0,2.0522180734937523
460,0.05,0.985,0.22,0.41,0.025,0.0,0.015,0.47,0.04,0.905,0.015,0.18,1.38,0.015,0.0,0.26,0.02,0.005,0.005,0.0,0.0,2.0222678951035564
461,0.06,0.975,0.255,0.465,0.015,0.015,0.015,0.47,0.055,0.88,0.005,0.22,1.28,0.01,0.0,0.25,0.03,0.0,0.0,0.0,0.0,2.0604996027466
462,0.035,1.0,0.275,0.46,0.015,0.015,0.02,0.59,0.06,0.79,0.005,0.17,1.31,0.0,0.0,0.25,0.005,0.0,0.0,0.0,0.0,2.0188723603799277
463,0.01,1.01,0.335,0.415,0.005,0.015,0.015,0.67,0.025,0.755,0.015,0.17,1.3,0.02,0.015,0.2,0.015,0.005,0.005,0.0,0.0,2.02840073384497
464,0.0,1.015,0.415,0.355,0.025,0.005,0.02,0.795,0.075,0.66,0.02,0.115,1.25,0.015,0.005,0.2,0.02,0.0,0.01,0.0,0.0,2.0392524208494294
465,0.015,0.975,0.385,0.365,0.0,0.005,0.02,0.87,0.09,0.67,0.02,0.1,1.16,0.025,0.01,0.23,0.02,0.025,0.005,0.01,0.0,2.0873574044945733
466,0.0,1.015,0.28,0.34,0.025,0.01,0.02,0.945,0.11,0.655,0.015,0.105,1.065,0.01,0.005,0.345,0.035,0.01,0.0,0.01,0.0,2.085385973777974
467,0.005,1.0,0.25,0.385,0.03,0.005,0.015,0.915,0.125,0.775,0.0,0.04,0.965,0.02,0.005,0.405,0.045,0.015,0.0,0.0,0.0,2.071531333695789
468,0.015,0.985,0.245,0.445,0.02,0.02,0.045,0.65,0.135,0.925,0.0,0.04,0.865,0.025,0.005,0.485,0.03,0.05,0.0,0.015,0.0,2.158060821105483
469,0.035,1.01,0.205,0.62,0.025,0.02,0.05,0.35,0.12,1.03,0.015,0.025,0.88,0.01,0.025,0.5,0.015,0.055,0.005,0.005,0.0,2.14309239967098
470,0.045,1.03,0.245,0.69,0.015,0.0,0.035,0.22,0.105,1.07,0.015,0.03,0.86,0.02,0.02,0.525,0.01,0.055,0.005,0.005,0.0,2.097167395936992
471,0.09,1.045,0.215,0.765,0.01,0.015,0.01,0.19,0.085,1.065,0.005,0.045,0.86,0.01,0.005,0.525,0.01,0.04,0.005,0.005,0.0,2.0601575348984267
472,0.16,1.02,0.195,0.785,0.015,0.01,0.0,0.24,0.1,1.0,0.015,0.045,0.865,0.0,0.0,0.485,0.015,0.04,0.005,0.005,0.0,2.086899219153777
473,0.17,0.915,0.215,0.785,0.035,0.03,0.005,0.29,0.09,1.015,0.01,0.015,0.835,0.005,0.005,0.49,0.03,0.06,0.0,0.0,0.0,2.1391923834793767
474,0.155,0.875,0.225,0.8,0.005,0.045,0.0,0.305,0.145,1.03,0.005,0.035,0.83,0.015,0.005,0.41,0.045,0.07,0.0,0.0,0.0,2.1648241281156606
475,0.17,0.875,0.21,0.75,0.005,0.03,0.01,0.395,0.155,0.99,0.01,0.03,0.88,0.0,0.005,0.43,0.025,0.03,0.0,0.0,0.0,2.1405767025297493
476,0.16,0.895,0.23,0.67,0.015,0.045,0.005,0.41,0.155,0.985,0.005,0.03,0.89,0.005,0.0,0.43,0.03,0.035,0.005,0.0,0.0,2.1636612350730915
477,0.135,0.84,0.225,0.63,0.025,0.04,0.03,0.43,0.135,1.055,0.01,0.02,0.835,0.005,0.01,0.45,0.03,0.08,0.005,0.01,0.0,2.216029721108011
478,0.2,0.75,0.245,0.59,0.01,0.02,0.04,0.405,0.125,1.14,0.015,0.01,0.76,0.005,0.01,0.535,0.05,0.08,0.005,0.005,0.0,2.2200065211878703
479,0.245,0.665,0.27,0.54,0.01,0.005,0.025,0.405,0.145,1.245,0.005,0.02,0.695,0.015,0.005,0.6,0.025,0.075,0.005,0.0,0.0,2.1907832808080596
480,0.265,0.635,0.225,0.585,0.015,0.005,0.035,0.405,0.11,1.255,0.015,0.015,0.72,0.0,0.0,0.62,0.02,0.065,0.005,0.0,0.005,2.1670354519413553
481,0.32,0.595,0.21,0.595,0.02,0.015,0.06,0.385,0.095,1.205,0.03,0.01,0.755,0.015,0.005,0.62,0.005,0.045,0.005,0.01,0.0,2.204341760058872
482,0.375,0.59,0.26,0.665,0.005,0.03,0.09,0.29,0.145,1.195,0.02,0.02,0.675,0.005,0.02,0.525,0.03,0.055,0.005,0.0,0.0,2.2556715973044907
483,0.345,0.63,0.22,0.67,0.015,0.005,0.1,0.335,0.115,1.165,0.005,0.02,0.695,0.005,0.005,0.605,0.04,0.015,0.005,0.005,0.0,2.204623238953462
484,0.325,0.69,0.235,0.765,0.02,0.0,0.13,0.28,0.125,1.065,0.005,0.025,0.685,0.015,0.005,0.56,0.03,0.035,0.0,0.005,0.0,2.229518434891358
485,0.32,0.73,0.245,0.835,0.03,0.01,0.135,0.235,0.095,1.02,0.01,0.015,0.69,0.01,0.0,0.565,0.02,0.025,0.0,0.01,0.0,2.2104509113871194
486,0.255,0.78,0.33,0.76,0.01,0.015,0.16,0.255,0.09,0.975,0.015,0.01,0.76,0.02,0.005,0.485,0.025,0.035,0.0,0.015,0.0,2.2403686792655453
487,0.26,0.84,0.32,0.925,0.02,0.005,0.165,0.175,0.125,0.865,0.005,0.01,0.81,0.01,0.005,0.435,0.0,0.015,0.005,0.005,0.0,2.173378823287984
488,0.305,0.9,0.315,0.88,0.005,0.03,0.185,0.205,0.115,0.74,0.02,0.0,0.87,0.0,0.005,0.385,0.015,0.025,0.0,0.0,0.0,2.1938854679976894
489,0.255,0.97,0.35,0.73,0.005,0.015,0.2,0.245,0.12,0.725,0.015,0.01,1.0,0.0,0.01,0.29,0.03,0.025,0.005,0.0,0.0,2.2007812210376394
490,0.205,1.04,0.395,0.53,0.025,0.01,0.245,0.275,0.13,0.755,0.005,0.015,1.075,0.02,0.0,0.245,0.015,0.01,0.005,0.0,0.0,2.184014694090027
