,Assassin,Gunner,Kamikaze,Duelist,Battle Medic,Sweeper,Sniper,Mage,Cannon,Druid,Skirmisher,Hazard,Gladiator,Team Support,Harasser,Wall,Tank,Lead,Healer,Ambulance,Flyer,ENT
236,0.4,0.895,0.3,0.345,0.01,0.105,0.02,0.32,0.055,0.97,0.015,0.01,0.26,0.0,0.025,0.9,0.02,0.34,0.0,0.01,0.0,2.258676552146975
237,0.52,0.855,0.28,0.35,0.02,0.13,0.02,0.32,0.05,0.875,0.015,0.0,0.235,0.0,0.02,0.905,0.025,0.355,0.01,0.005,0.01,2.2896710533014497
238,0.695,0.78,0.33,0.25,0.01,0.21,0.03,0.34,0.07,0.635,0.0,0.015,0.215,0.005,0.04,0.9,0.02,0.45,0.0,0.005,0.0,2.326840185100965
239,0.73,0.81,0.395,0.2,0.0,0.2,0.035,0.345,0.08,0.5,0.005,0.01,0.23,0.005,0.045,0.885,0.025,0.475,0.0,0.015,0.01,2.3462032632632623
240,0.75,0.775,0.435,0.185,0.025,0.215,0.03,0.36,0.09,0.46,0.015,0.015,0.235,0.0,0.04,0.84,0.015,0.515,0.0,0.0,0.0,2.3501275554630454
241,0.7,0.76,0.505,0.22,0.015,0.225,0.05,0.355,0.1,0.42,0.015,0.0,0.225,0.0,0.03,0.83,0.02,0.53,0.0,0.0,0.0,2.3534830568667866
242,0.715,0.76,0.545,0.13,0.03,0.235,0.025,0.425,0.095,0.35,0.015,0.0,0.25,0.0,0.04,0.855,0.005,0.52,0.0,0.005,0.0,2.329878539384087
243,0.695,0.68,0.535,0.15,0.01,0.205,0.005,0.495,0.065,0.425,0.005,0.005,0.32,0.0,0.02,0.9,0.0,0.46,0.01,0.005,0.01,2.306961352621094
244,0.62,0.665,0.585,0.14,0.015,0.175,0.0,0.575,0.055,0.425,0.015,0.015,0.29,0.0,0.01,0.9,0.01,0.48,0.005,0.015,0.005,2.3106699820819148
245,0.59,0.64,0.585,0.08,0.01,0.215,0.01,0.715,0.075,0.435,0.025,0.015,0.255,0.0,0.005,0.86,0.015,0.435,0.0,0.015,0.02,2.3209670732141254
246,0.45,0.55,0.61,0.075,0.005,0.185,0.015,0.86,0.095,0.515,0.015,0.015,0.32,0.015,0.015,0.9,0.01,0.345,0.005,0.0,0.0,2.295794230766083
247,0.28,0.435,0.56,0.065,0.01,0.145,0.015,1.13,0.075,0.615,0.025,0.025,0.415,0.02,0.02,0.88,0.025,0.255,0.005,0.0,0.0,2.259567329468117
248,0.275,0.365,0.465,0.05,0.005,0.185,0.03,1.335,0.08,0.6,0.03,0.02,0.435,0.02,0.02,0.86,0.035,0.17,0.005,0.015,0.0,2.2364778595015617
249,0.21,0.39,0.445,0.035,0.005,0.22,0.04,1.355,0.105,0.59,0.015,0.02,0.5,0.01,0.03,0.855,0.015,0.135,0.01,0.015,0.0,2.2119651092965373
250,0.205,0.38,0.375,0.05,0.005,0.255,0.04,1.335,0.095,0.62,0.01,0.02,0.545,0.0,0.05,0.89,0.015,0.095,0.0,0.015,0.0,2.190704616619224
251,0.24,0.395,0.415,0.025,0.01,0.315,0.055,1.335,0.1,0.595,0.005,0.03,0.455,0.0,0.025,0.9,0.005,0.08,0.0,0.01,0.005,2.182968018487822
252,0.21,0.38,0.38,0.02,0.025,0.315,0.045,1.365,0.105,0.595,0.01,0.035,0.5,0.02,0.025,0.91,0.005,0.045,0.005,0.0,0.005,2.1780590551134433
253,0.21,0.44,0.42,0.015,0.025,0.365,0.05,1.345,0.12,0.525,0.005,0.02,0.485,0.025,0.03,0.86,0.015,0.04,0.0,0.005,0.0,2.193699689919378
254,0.235,0.45,0.465,0.025,0.025,0.43,0.065,1.305,0.18,0.47,0.015,0.025,0.435,0.005,0.04,0.8,0.0,0.03,0.0,0.0,0.0,2.2200639802932796
255,0.26,0.475,0.565,0.015,0.03,0.505,0.05,1.145,0.19,0.385,0.015,0.015,0.445,0.01,0.05,0.765,0.0,0.07,0.0,0.01,0.0,2.2767718753428143
256,0.22,0.46,0.68,0.035,0.015,0.535,0.03,1.155,0.185,0.395,0.015,0.005,0.38,0.015,0.05,0.775,0.005,0.035,0.0,0.005,0.005,2.239370514596089
257,0.195,0.42,0.75,0.035,0.015,0.565,0.03,1.105,0.2,0.36,0.01,0.005,0.455,0.005,0.035,0.725,0.015,0.065,0.005,0.0,0.005,2.246998333895885
